,Unnamed: 0,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
0,0,RiverEast Apartments,408 E 92nd St,Studio 1.0 Bath,,Studio,1ba,"$2,072",New York,NY,10128,"This apartment is located at 408 E 92nd St, New York, NY. 408 E 92nd St is in the Upper East Side neighborhood in New York, NY and in ZIP code 10128.","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Microwave ,Washer ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/ny/new-york/rivereast-408-e-92nd-st-new-york-ny-10128--1001433932,2020-11-17
1,1,RiverEast Apartments,408 E 92nd St,Unit 28D,,Studio,1ba,"Contact$2,072",New York,NY,10128,"This apartment is located at 408 E 92nd St, New York, NY. 408 E 92nd St is in the Upper East Side neighborhood in New York, NY and in ZIP code 10128.","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Microwave ,Washer ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/ny/new-york/rivereast-408-e-92nd-st-new-york-ny-10128--1001433932,2020-11-17
2,2,RiverEast Apartments,408 E 92nd St,1 Bed 1.0 Bath,725-890 sqft,1bd,1ba,"$2,504 - $2,560",New York,NY,10128,"This apartment is located at 408 E 92nd St, New York, NY. 408 E 92nd St is in the Upper East Side neighborhood in New York, NY and in ZIP code 10128.","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Microwave ,Washer ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/ny/new-york/rivereast-408-e-92nd-st-new-york-ny-10128--1001433932,2020-11-17
3,3,RiverEast Apartments,408 E 92nd St,Unit 02E,890 sqft,1bd,1ba,"Contact$2,560",New York,NY,10128,"This apartment is located at 408 E 92nd St, New York, NY. 408 E 92nd St is in the Upper East Side neighborhood in New York, NY and in ZIP code 10128.","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Microwave ,Washer ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/ny/new-york/rivereast-408-e-92nd-st-new-york-ny-10128--1001433932,2020-11-17
4,4,RiverEast Apartments,408 E 92nd St,Unit 24C,725 sqft,1bd,1ba,"Contact$2,504",New York,NY,10128,"This apartment is located at 408 E 92nd St, New York, NY. 408 E 92nd St is in the Upper East Side neighborhood in New York, NY and in ZIP code 10128.","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Microwave ,Washer ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/ny/new-york/rivereast-408-e-92nd-st-new-york-ny-10128--1001433932,2020-11-17
5,5,RiverEast Apartments,408 E 92nd St,2 Bed 2.0 Bath,"1,000 sqft",2bd,2ba,"$3,696",New York,NY,10128,"This apartment is located at 408 E 92nd St, New York, NY. 408 E 92nd St is in the Upper East Side neighborhood in New York, NY and in ZIP code 10128.","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Microwave ,Washer ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/ny/new-york/rivereast-408-e-92nd-st-new-york-ny-10128--1001433932,2020-11-17
6,6,RiverEast Apartments,408 E 92nd St,Unit 20F,"1,000 sqft",2bd,2ba,"Contact$3,696",New York,NY,10128,"This apartment is located at 408 E 92nd St, New York, NY. 408 E 92nd St is in the Upper East Side neighborhood in New York, NY and in ZIP code 10128.","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Dryer ,Microwave ,Washer ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/ny/new-york/rivereast-408-e-92nd-st-new-york-ny-10128--1001433932,2020-11-17
7,7,Greenpoint Rentals Apartments,21 India St,Studio 1.0 Bath,,Studio,1ba,"$2,280 - $2,803",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
8,8,Greenpoint Rentals Apartments,21 India St,Unit T.1908,,Studio,1ba,"Contact$2,803",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
9,9,Greenpoint Rentals Apartments,21 India St,Unit T.609,,Studio,1ba,"Contact$2,280",Brooklyn,NY,11222,"The Greenpoint is a collection of brand new studio-to-three bedroom luxury rental residences located on Brooklyn's East River waterfront. These thoughtfully designed residences offer a contemporary home with airy living spaces and excellent natural light. An amenity-rich lifestyle awaits with 30,000 square feet of space to live, work and play while the NYC Ferry is just outside your door offering convenient and direct access to Midtown Manhattan, Wall Street, Williamsburg, Long Island City and more. Strolling along the waterside boardwalks at twilight, you'll feel all that makes Greenpoint a magical home.We are offering private, by appointment, virtual presentations and on-site tours 7 days a week. To schedule your appointment, please contact The Greenpoint leasing team and learn more about our showing protocol.(Pictures or Videos reflect apartment finishes, and may not represent the actual apartment)","Views ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Elevator ,Balcony ,Barbeque Area ,Deck ,Garden ,Lawn ,Assigned Parking Space ,Garage ,Parking: Garage Attached, Garage Detached ,Cats, dogs allowed ,Basketball Court ,Fitness Center",https://www.trulia.com/c/ny/brooklyn/greenpoint-rentals-21-india-st-brooklyn-ny-11222--2287342781,2020-11-17
