,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
0,Vibe Apartments,1121 Lulu Ave,Sedona,700 sqft,1bd,1ba,$699,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
1,Vibe Apartments,1121 Lulu Ave,Unit 1067-10,700 sqft,1bd,1ba,Contact$699,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
2,Vibe Apartments,1121 Lulu Ave,Unit 5035-12,700 sqft,1bd,1ba,Contact$699,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
3,Vibe Apartments,1121 Lulu Ave,Unit 5035-10,700 sqft,1bd,1ba,Contact$699,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
4,Vibe Apartments,1121 Lulu Ave,Mesquite,750 sqft,2bd,1ba,$739,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
5,Vibe Apartments,1121 Lulu Ave,Unit 1130-04,750 sqft,2bd,1ba,Contact$739,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
6,Vibe Apartments,1121 Lulu Ave,Unit 1130-01,750 sqft,2bd,1ba,Contact$739,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
7,Vibe Apartments,1121 Lulu Ave,Unit 1090-03,750 sqft,2bd,1ba,Contact$739,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
8,Vibe Apartments,1121 Lulu Ave,Summerlin,800 sqft,2bd,1ba,$800,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
9,Vibe Apartments,1121 Lulu Ave,Unit 1106-17,800 sqft,2bd,1ba,Contact$800,Las Vegas,NV,89119,"Welcome to Vibe Apartments!Our residents are our priority! Located walking distance to UNLV, great restaurants, shopping, airport and the Fabulous Las Vegas Strip. Come experience the emerging neighborhood where you will find the new Siegfried and Roy Regional Park steps away from this quite, clean, and friendly property.Lease Details: Available months 6,7,8,9,10,11,12",,https://www.trulia.com/c/nv/las-vegas/vibe-1121-lulu-ave-las-vegas-nv-89119--2076695600,2021-03-04
