,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
0,AVA DoBro Apartments,100 Willoughby St,S2,445 sqft,Studio,1ba,"Contact$2,100",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
1,AVA DoBro Apartments,100 Willoughby St,S4,542 sqft,Studio,1ba,"Contact$2,140",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
2,AVA DoBro Apartments,100 Willoughby St,S5,557 sqft,Studio,1ba,"Contact$2,195",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
3,AVA DoBro Apartments,100 Willoughby St,S7,601 sqft,Studio,1ba,"Contact$2,250",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
4,AVA DoBro Apartments,100 Willoughby St,A1,487 sqft,1bd,1ba,"Contact$2,065",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
5,AVA DoBro Apartments,100 Willoughby St,A2,487 sqft,1bd,1ba,"Contact$2,080",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
6,AVA DoBro Apartments,100 Willoughby St,A1-2,495 sqft,1bd,1ba,"Contact$2,095",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
7,AVA DoBro Apartments,100 Willoughby St,A4,584 sqft,1bd,1ba,"Contact$2,530",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
8,AVA DoBro Apartments,100 Willoughby St,A5,634 sqft,1bd,1ba,"Contact$2,495",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
9,AVA DoBro Apartments,100 Willoughby St,A6,653 sqft,1bd,1ba,"Contact$2,440",Brooklyn,NY,11201,"AVA DoBro features studio, 1, 2, and 3 bedroom apartment homes for rent, and now offers furnished and unfurnished floor plans. AVA DoBro is convenient to the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights.AVA DoBro is steps from cultural icons such as the Barclays Center and Brooklyn Flea, and local restaurants and nightlife of Fort Greene, Carroll Gardens, and Brooklyn Heights. Now offering furnished and unfurnished floorplans, AVA DoBro features brand new studio, 1, 2, and 3 bedroom floor plans. These pet friendly, Brooklyn apartment homes include kitchens with stainless steel appliances, quartz-stone countertops, and tile backsplashes. Plus, most units comes with hard-surface plank flooring, an in-unit washer/dryer, and a built-in charging station. AVA DoBro features a 58th floor rooftop deck and lounge, 30th floor terrace with grills, heated outdoor dog run, and fully-equipped fitness center. Best of all, AVA DoBro is the perfect home base, directly above a Jay Street-MetroTech Subway Station giving immediate access to the A/C, F, and R trains while being less than a 5-minute walk from the 2/3, 4/5, B, and Q trains.",,https://www.trulia.com/c/ny/brooklyn/ava-dobro-100-willoughby-st-brooklyn-ny-11201--2009526595,2021-03-05
