,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
0,University Plaza Apartments,607 N Grand Blvd,One Bedroom,740 sqft,1bd,1ba,Contact$778,Saint Louis,MO,63108,"Located in the heart of the Grand Center Arts District, right across the street from the Fox Theater, the University Plaza Apartments place you right in the middle of all the excitement in Midtown, St. Louis. You're close to St. Louis University, and a short drive from Harris Stowe, Wells Fargo, and the St. Louis University Hospital Complex. With off street parking available, many unique floorplans including townhomes and penthouses, we hope you'll make the University Plaza Apartments your home.","Heating: Electric ,Views ,Days on Market: 53 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Disabled Access ,Ceiling Fan ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/mo/saint-louis/university-plaza-607-n-grand-blvd-saint-louis-mo-63108--2456246456,2020-11-17
1,University Plaza Apartments,607 N Grand Blvd,Two Bedroom,818 sqft,2bd,1ba,Contact$860,Saint Louis,MO,63108,"Located in the heart of the Grand Center Arts District, right across the street from the Fox Theater, the University Plaza Apartments place you right in the middle of all the excitement in Midtown, St. Louis. You're close to St. Louis University, and a short drive from Harris Stowe, Wells Fargo, and the St. Louis University Hospital Complex. With off street parking available, many unique floorplans including townhomes and penthouses, we hope you'll make the University Plaza Apartments your home.","Heating: Electric ,Views ,Days on Market: 53 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Disabled Access ,Ceiling Fan ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/mo/saint-louis/university-plaza-607-n-grand-blvd-saint-louis-mo-63108--2456246456,2020-11-17
2,University Plaza Apartments,607 N Grand Blvd,Two Bedroom,938 sqft,2bd,1ba,Contact$934,Saint Louis,MO,63108,"Located in the heart of the Grand Center Arts District, right across the street from the Fox Theater, the University Plaza Apartments place you right in the middle of all the excitement in Midtown, St. Louis. You're close to St. Louis University, and a short drive from Harris Stowe, Wells Fargo, and the St. Louis University Hospital Complex. With off street parking available, many unique floorplans including townhomes and penthouses, we hope you'll make the University Plaza Apartments your home.","Heating: Electric ,Views ,Days on Market: 53 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Disabled Access ,Ceiling Fan ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/mo/saint-louis/university-plaza-607-n-grand-blvd-saint-louis-mo-63108--2456246456,2020-11-17
3,University Plaza Apartments,607 N Grand Blvd,Two Bedroom Townhome,956 sqft,2bd,1.5ba,"Contact$1,080",Saint Louis,MO,63108,"Located in the heart of the Grand Center Arts District, right across the street from the Fox Theater, the University Plaza Apartments place you right in the middle of all the excitement in Midtown, St. Louis. You're close to St. Louis University, and a short drive from Harris Stowe, Wells Fargo, and the St. Louis University Hospital Complex. With off street parking available, many unique floorplans including townhomes and penthouses, we hope you'll make the University Plaza Apartments your home.","Heating: Electric ,Views ,Days on Market: 53 Days on Trulia ,Property Type: Apartment ,Dishwasher ,Disposal ,Dryer ,Microwave ,Refrigerator ,Washer ,Air Conditioning ,Disabled Access ,Ceiling Fan ,Parking: None ,Cats, dogs allowed",https://www.trulia.com/c/mo/saint-louis/university-plaza-607-n-grand-blvd-saint-louis-mo-63108--2456246456,2020-11-17
4,Hawthorne Apartments,4475 W Pine Blvd,Studio 1.0 Bath,486 sqft,Studio,1ba,$794 - $881,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
5,Hawthorne Apartments,4475 W Pine Blvd,,486 sqft,Studio,1ba,Contact$811,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
6,Hawthorne Apartments,4475 W Pine Blvd,Unit 404,486 sqft,Studio,1ba,Contact$881,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
7,Hawthorne Apartments,4475 W Pine Blvd,Unit 1104,486 sqft,Studio,1ba,Contact$794,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
8,Hawthorne Apartments,4475 W Pine Blvd,1 Bed 1.0 Bath,561-660 sqft,1bd,1ba,$819 - $914,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
9,Hawthorne Apartments,4475 W Pine Blvd,Unit 301,561 sqft,1bd,1ba,Contact$890,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
10,Hawthorne Apartments,4475 W Pine Blvd,Unit 806,561 sqft,1bd,1ba,Contact$884,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
11,Hawthorne Apartments,4475 W Pine Blvd,Unit 1201,561 sqft,1bd,1ba,Contact$819,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
12,Hawthorne Apartments,4475 W Pine Blvd,Unit 1208,660 sqft,1bd,1ba,Contact$914,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
13,Hawthorne Apartments,4475 W Pine Blvd,Unit 1008,660 sqft,1bd,1ba,Contact$847,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
14,Hawthorne Apartments,4475 W Pine Blvd,Unit 1508,660 sqft,1bd,1ba,Contact$847,Saint Louis,MO,63108,"The Central West End is a diverse, eclectic St. Louis neighborhood committed to preserving a century-old history and maintaining a sense of privacy and sophistication. The Central West End boasts many great features including the 1,371-acre Forest Park, which is home to the top-rated St. Louis Zoo and The Muny outdoor theatre, among many other amazing amenities. In the heart of this architecture-rich neighborhood is Hawthorne Apartments. As you walk through Hawthorne's front doors, through the lobby and around the common areas, you will sense the history of St. Louis. Hawthorne is within walking distance to fantastic dining, nightlife, entertainment, and grocery shopping.Lease Details: 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Property Type: Apartment ,Laundry Facilities ,Elevator ,Assigned Parking Space ,Ceiling Fan ,Garage ,Parking: Garage Detached",https://www.trulia.com/c/mo/saint-louis/hawthorne-4475-w-pine-blvd-saint-louis-mo-63108--2105648661,2020-11-17
