,0
0,/c/tx/dallas/venice-apartments-4526-munger-ave-dallas-tx-75204--2066305822
1,/c/tx/dallas/garrett-gardens-2015-n-garrett-ave-dallas-tx-75206--2109234931
2,/c/tx/dallas/the-centennial-4710-lake-ave-dallas-tx-75219--2066444806
3,/c/tx/dallas/marquita-court-apartments-5750-marquita-ave-dallas-tx-75206--1050337219
4,/c/tx/dallas/cottonwood-at-park-central-13323-esperanza-rd-dallas-tx-75240--2347105507
5,/c/tx/dallas/cook-s-creek-2706-cookscreek-pl-dallas-tx-75234--2066547186
6,/c/tx/dallas/newton-park-4114-newton-ave-dallas-tx-75219--2066440572
7,/c/tx/dallas/6015-reiger-6015-reiger-ave-dallas-tx-75214--1123171493
8,/c/tx/dallas/rosemont-at-meadow-lane-4722-meadow-st-dallas-tx-75215--2066386454
9,/c/tx/dallas/vista-azul-2911-clydedale-dr-dallas-tx-75220--2066446674
10,/c/tx/dallas/camden-farmers-market-2210-canton-st-dallas-tx-75201--2066284108
11,/c/tx/dallas/vue-live-oak-apartments-1333-n-peak-st-dallas-tx-75204--2109232178
12,/c/tx/dallas/the-arts-2611-ross-ave-dallas-tx-75201--2066285515
13,/c/tx/dallas/manor-house-apartments-1222-commerce-st-dallas-tx-75202--1044111684
14,/c/tx/dallas/harvard-square-6050-ridgecrest-rd-dallas-tx-75231--2066524658
15,/c/tx/dallas/magnolia-at-wycliff-4320-dickason-ave-dallas-tx-75219--2066442838
16,/c/tx/dallas/post-uptown-village-2121-routh-st-dallas-tx-75201--2066283648
17,/c/tx/dallas/renaissance-at-preston-hollow-8600-thackery-st-dallas-tx-75225--2066470772
18,/c/tx/dallas/city-limits-18809-lina-st-dallas-tx-75287--2066639218
19,/c/tx/dallas/austin-s-place-apartments-4710-abbott-ave-dallas-tx-75205--1050332989
20,/c/tx/dallas/dallas-power-and-light-lofts-222-browder-st-dallas-tx-75201--2066284297
21,/c/tx/dallas/villa-del-norte-apartments-6800-del-norte-ln-dallas-tx-75225--2066469093
22,/c/tx/dallas/the-district-4505-cedar-springs-rd-dallas-tx-75219--2066443892
23,/c/tx/dallas/gables-mirabella-2600-cole-ave-dallas-tx-75204--2066294758
24,/c/tx/dallas/gallery-at-turtle-creek-3427-cedar-springs-rd-dallas-tx-75219--2066436485
25,/c/tx/dallas/gables-katy-trail-2821-carlisle-st-dallas-tx-75204--2066296210
26,/c/tx/dallas/alta-design-district-1531-inspiration-dr-dallas-tx-75207--2066330156
27,/c/tx/dallas/eleven10-at-farmers-market-1110-s-cesar-chavez-blvd-dallas-tx-75201--1150569648
28,/c/tx/dallas/northend-2323-n-field-st-dallas-tx-75201--2109228328
29,/c/tx/dallas/douglas-court-4101-douglas-ave-dallas-tx-75219--1001672038
30,/c/tx/dallas/magnolia-on-capitol-5209-capitol-ave-dallas-tx-75206--2066320324
31,/c/tx/dallas/the-republic-at-san-jacinto-5018-san-jacinto-st-dallas-tx-75206--2066319001
32,/c/tx/dallas/highland-park-west-lemmon-3600-wheeler-st-dallas-tx-75209--2066335307
33,/c/tx/dallas/eagle-creek-18959-lina-st-dallas-tx-75287--2066639628
34,/c/tx/dallas/fox-hills-8783-ferndale-rd-dallas-tx-75238--2066566847
35,/c/tx/dallas/the-link-on-maple-5219-maple-ave-dallas-tx-75235--2066555337
36,/c/tx/dallas/sierra-park-apartments-11611-ferguson-rd-dallas-tx-75228--2066490828
37,/c/tx/dallas/meadowcrest-5200-meadowcreek-dr-dallas-tx-75248--2066607685
38,/c/tx/dallas/colonial-reserve-at-medical-district-2222-medical-district-dr-dallas-tx-75235--2066552673
