,0
0,/c/nv/las-vegas/avanti-apartments-10697-w-centennial-pkwy-las-vegas-nv-89166--2115389148
1,/c/nv/las-vegas/ascent-at-silverado-apartments-10175-spencer-st-las-vegas-nv-89183--2000011249
2,/c/nv/las-vegas/sw-apartments-6355-s-durango-dr-las-vegas-nv-89113--1999997643
3,/c/nv/las-vegas/fireskye-9100-w-flamingo-rd-las-vegas-nv-89147--2115381945
4,/c/nv/las-vegas/martin-apartment-homes-6655-s-fort-apache-rd-las-vegas-nv-89148--2124135782
5,/c/nv/las-vegas/solitude-at-centennial-7855-deer-springs-way-las-vegas-nv-89131--2076789086
6,/c/nv/las-vegas/royal-palms-apartments-5711-w-tropicana-ave-las-vegas-nv-89103--2115311247
7,/c/nv/las-vegas/south-blvd-10200-giles-st-las-vegas-nv-89183--2076923619
8,/c/nv/las-vegas/avenue-965-965-cottage-grove-ave-las-vegas-nv-89119--2076702643
9,/c/nv/spring-valley/borgata-condominiums-4400-s-jones-blvd-spring-valley-nv-89103--2115308805
10,/c/nv/las-vegas/zerzura-5175-jerry-tarkanian-way-las-vegas-nv-89148--2194497182
11,/c/nv/las-vegas/aviata-2121-e-warm-springs-rd-las-vegas-nv-89119--2115352604
12,/c/nv/las-vegas/collage-apartments-6100-carmen-blvd-las-vegas-nv-89108--2076641628
13,/c/nv/las-vegas/chandler-apartment-homes-6767-w-windmill-ln-las-vegas-nv-89139--2115374938
14,/c/nv/las-vegas/diamondhead-1799-n-decatur-blvd-las-vegas-nv-89108--2000010468
15,/c/nv/las-vegas/destinations-spring-valley-55-apartment-homes-3925-s-jones-blvd-las-vegas-nv-89103--2115307304
16,/c/nv/las-vegas/winterhaven-senior-apartments-3300-winterhaven-st-las-vegas-nv-89108--2076636858
17,/c/nv/las-vegas/pointe-at-centennial-hills-5850-sky-pointe-dr-las-vegas-nv-89130--2076777438
18,/c/nv/las-vegas/sunstone-9353-w-twain-ave-las-vegas-nv-89147--2115382048
19,/c/nv/las-vegas/shelter-cove-2683-s-decatur-blvd-las-vegas-nv-89102--2115304968
20,/c/nv/las-vegas/vue-at-centennial-7350-w-centennial-pkwy-las-vegas-nv-89131--2196878990
21,/c/nv/las-vegas/sur702-6614-blue-diamond-rd-las-vegas-nv-89139--2394202088
22,/c/nv/las-vegas/sequoia-meadows-5301-pioneer-ave-las-vegas-nv-89146--2076862710
23,/c/nv/las-vegas/mountain-gate-mountain-trails-9350-s-cimarron-rd-las-vegas-nv-89178--2124829390
24,/c/nv/las-vegas/fremont9-901-fremont-st-las-vegas-nv-89101--2076596027
25,/c/nv/las-vegas/jovanna-villas-2720-w-serene-ave-las-vegas-nv-89123--2115364659
26,/c/nv/las-vegas/glo-las-vegas-5035-e-russell-rd-las-vegas-nv-89122--2115360658
27,/c/nv/las-vegas/valley-view-senior-apartments-1600-s-valley-view-blvd-las-vegas-nv-89102--2115303875
28,/c/nv/las-vegas/the-willows-at-town-center-9145-echelon-point-dr-las-vegas-nv-89149--2076893103
29,/c/nv/las-vegas/court-senior-apartments-3210-s-sandhill-rd-las-vegas-nv-89121--2115358082
30,/c/nv/las-vegas/everett-apartment-homes-7227-windmill-ln-las-vegas-nv-89113--2365794411
31,/c/nv/las-vegas/kaktuslife-10650-dean-martin-dr-las-vegas-nv-89141--2352580060
32,/c/nv/las-vegas/the-boulders-at-lone-mountain-3450-n-hualapai-way-las-vegas-nv-89129--2115371138
33,/c/nv/las-vegas/level-25-at-sunset-8251-w-sunset-rd-las-vegas-nv-89113--2394179542
34,/c/nv/las-vegas/fusion-4340-escondido-st-las-vegas-nv-89119--2076698627
35,/c/nv/las-vegas/palermo-apartments-5870-w-harmon-ave-las-vegas-nv-89103--2115312133
36,/c/nv/las-vegas/sahara-west-2301-redwood-st-las-vegas-nv-89146--2076860475
37,/c/nv/las-vegas/elysian-at-flamingo-4150-s-hualapai-way-las-vegas-nv-89147--2337954935
38,/c/nv/las-vegas/mariner-at-south-shores-2201-n-buffalo-dr-las-vegas-nv-89128--2115370072
39,/c/nv/las-vegas/vue-5325-5325-e-tropicana-ave-las-vegas-nv-89122--2115361263
40,/c/nv/las-vegas/falling-water-1350-n-town-center-dr-las-vegas-nv-89144--2115376831
41,/c/nv/las-vegas/v-lane-apartments-4316-e-tropicana-ave-las-vegas-nv-89121--2115360058
42,/c/nv/las-vegas/torreyana-apartments-5155-s-torrey-pines-dr-las-vegas-nv-89118--2115348336
43,/c/nv/las-vegas/parkside-villas-8400-s-maryland-pkwy-las-vegas-nv-89123--2115367046
