,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
0,Medical Center Court Apartments,1005 Maiden Ln,The Huron - Studio -  450 Sq. Ft.,450 sqft,Studio,1ba,"Contact$1,219",Ann Arbor,MI,48105,"Walk or bike to the University of Michigan Medical School campus from your Medical Center Court Apartment! Our pet friendly community is close to all of the iconic dining, shopping and culture Ann Arbor has to offer.Each of our studio, one and two bedrooms are designed to make life effortless. Open kitchens, spacious living rooms and closets with built in shelving are all waiting for you! Several on-site laundry centers are located throughout the community, both our fitness center & Wi-Fi study lounge are open 24 hours a day!Medical Center Court Apartments is in the Exceptional Ann Arbor Public Schools district, where students attend the following schools:* Ann Arbor STEAM* Clague Middle School* Skyline High School & Huron High Schools","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Laundry Facilities ,Barbeque Area ,Parking: None ,Cats, dogs allowed ,Fitness Center ,Intercom",https://www.trulia.com/c/mi/ann-arbor/medical-center-court-1005-maiden-ln-ann-arbor-mi-48105--2050038819,2020-11-16
1,Medical Center Court Apartments,1005 Maiden Ln,The Geddes - 1 Bed - 1 Bath - 585 Sq. Ft.,585 sqft,1bd,1ba,"Contact$1,309",Ann Arbor,MI,48105,"Walk or bike to the University of Michigan Medical School campus from your Medical Center Court Apartment! Our pet friendly community is close to all of the iconic dining, shopping and culture Ann Arbor has to offer.Each of our studio, one and two bedrooms are designed to make life effortless. Open kitchens, spacious living rooms and closets with built in shelving are all waiting for you! Several on-site laundry centers are located throughout the community, both our fitness center & Wi-Fi study lounge are open 24 hours a day!Medical Center Court Apartments is in the Exceptional Ann Arbor Public Schools district, where students attend the following schools:* Ann Arbor STEAM* Clague Middle School* Skyline High School & Huron High Schools","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Laundry Facilities ,Barbeque Area ,Parking: None ,Cats, dogs allowed ,Fitness Center ,Intercom",https://www.trulia.com/c/mi/ann-arbor/medical-center-court-1005-maiden-ln-ann-arbor-mi-48105--2050038819,2020-11-16
2,Medical Center Court Apartments,1005 Maiden Ln,The Broadway - 1 Bed - 1 Bath - 630 Sq. Ft.,630 sqft,1bd,1ba,"Contact$1,369",Ann Arbor,MI,48105,"Walk or bike to the University of Michigan Medical School campus from your Medical Center Court Apartment! Our pet friendly community is close to all of the iconic dining, shopping and culture Ann Arbor has to offer.Each of our studio, one and two bedrooms are designed to make life effortless. Open kitchens, spacious living rooms and closets with built in shelving are all waiting for you! Several on-site laundry centers are located throughout the community, both our fitness center & Wi-Fi study lounge are open 24 hours a day!Medical Center Court Apartments is in the Exceptional Ann Arbor Public Schools district, where students attend the following schools:* Ann Arbor STEAM* Clague Middle School* Skyline High School & Huron High Schools","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Laundry Facilities ,Barbeque Area ,Parking: None ,Cats, dogs allowed ,Fitness Center ,Intercom",https://www.trulia.com/c/mi/ann-arbor/medical-center-court-1005-maiden-ln-ann-arbor-mi-48105--2050038819,2020-11-16
3,Medical Center Court Apartments,1005 Maiden Ln,The Plymouth - 1 Bed - 1 Bath - 700 Sq. Ft.,700 sqft,1bd,1ba,"Contact$1,369",Ann Arbor,MI,48105,"Walk or bike to the University of Michigan Medical School campus from your Medical Center Court Apartment! Our pet friendly community is close to all of the iconic dining, shopping and culture Ann Arbor has to offer.Each of our studio, one and two bedrooms are designed to make life effortless. Open kitchens, spacious living rooms and closets with built in shelving are all waiting for you! Several on-site laundry centers are located throughout the community, both our fitness center & Wi-Fi study lounge are open 24 hours a day!Medical Center Court Apartments is in the Exceptional Ann Arbor Public Schools district, where students attend the following schools:* Ann Arbor STEAM* Clague Middle School* Skyline High School & Huron High Schools","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Laundry Facilities ,Barbeque Area ,Parking: None ,Cats, dogs allowed ,Fitness Center ,Intercom",https://www.trulia.com/c/mi/ann-arbor/medical-center-court-1005-maiden-ln-ann-arbor-mi-48105--2050038819,2020-11-16
4,Medical Center Court Apartments,1005 Maiden Ln,The Barton Hills - 2 Bed - 1 Bath - 815 Sq. Ft.,815 sqft,2bd,1ba,"Contact$1,509",Ann Arbor,MI,48105,"Walk or bike to the University of Michigan Medical School campus from your Medical Center Court Apartment! Our pet friendly community is close to all of the iconic dining, shopping and culture Ann Arbor has to offer.Each of our studio, one and two bedrooms are designed to make life effortless. Open kitchens, spacious living rooms and closets with built in shelving are all waiting for you! Several on-site laundry centers are located throughout the community, both our fitness center & Wi-Fi study lounge are open 24 hours a day!Medical Center Court Apartments is in the Exceptional Ann Arbor Public Schools district, where students attend the following schools:* Ann Arbor STEAM* Clague Middle School* Skyline High School & Huron High Schools","Days on Market: 3 Days on Trulia ,Property Type: Apartment ,Laundry Facilities ,Barbeque Area ,Parking: None ,Cats, dogs allowed ,Fitness Center ,Intercom",https://www.trulia.com/c/mi/ann-arbor/medical-center-court-1005-maiden-ln-ann-arbor-mi-48105--2050038819,2020-11-16
5,Cambridge Club Apartments,5501 Cambridge Club Cir,1 Bed 1.0 Bath,740 sqft,1bd,1ba,"$1,229 - $1,239",Ann Arbor,MI,48103,"Cambridge Club, an award-winning property that is located in an extraordinary neighborhood. Our convenient Location is minutes to Ann Arbor, Dexter or any Washtenaw Area destination, including major employers, and shopping. Cambridge Club Apartments is also near an array of parks, recreation, entertainment & golf centers.Discover our 1 & 2 bedroom apartment homes and surround yourself with comfort, and convenience. Entertain your family & friends at our refreshing pool & picnic area, or workout anytime in our 24-hour cardio fitness center.A community rich in diversity intimate enough to offer everyone an inviting community spirit and a welcome retreat at the end of each day. Come live at Cambridge Club, and enjoy the exciting blend of country and city living. We are Ann Arbor's West Side Secret!","Heating: Forced Air ,Property Type: Apartment ,Dishwasher ,Dryer ,Washer ,Balcony ,Assigned Parking Space ,Parking: Off Street ,Pool ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/mi/ann-arbor/cambridge-club-5501-cambridge-club-cir-ann-arbor-mi-48103--2050027670,2020-11-16
6,Cambridge Club Apartments,5501 Cambridge Club Cir,Unit 37-209,740 sqft,1bd,1ba,"Contact$1,239",Ann Arbor,MI,48103,"Cambridge Club, an award-winning property that is located in an extraordinary neighborhood. Our convenient Location is minutes to Ann Arbor, Dexter or any Washtenaw Area destination, including major employers, and shopping. Cambridge Club Apartments is also near an array of parks, recreation, entertainment & golf centers.Discover our 1 & 2 bedroom apartment homes and surround yourself with comfort, and convenience. Entertain your family & friends at our refreshing pool & picnic area, or workout anytime in our 24-hour cardio fitness center.A community rich in diversity intimate enough to offer everyone an inviting community spirit and a welcome retreat at the end of each day. Come live at Cambridge Club, and enjoy the exciting blend of country and city living. We are Ann Arbor's West Side Secret!","Heating: Forced Air ,Property Type: Apartment ,Dishwasher ,Dryer ,Washer ,Balcony ,Assigned Parking Space ,Parking: Off Street ,Pool ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/mi/ann-arbor/cambridge-club-5501-cambridge-club-cir-ann-arbor-mi-48103--2050027670,2020-11-16
7,Cambridge Club Apartments,5501 Cambridge Club Cir,Unit 12-102,740 sqft,1bd,1ba,"Contact$1,229",Ann Arbor,MI,48103,"Cambridge Club, an award-winning property that is located in an extraordinary neighborhood. Our convenient Location is minutes to Ann Arbor, Dexter or any Washtenaw Area destination, including major employers, and shopping. Cambridge Club Apartments is also near an array of parks, recreation, entertainment & golf centers.Discover our 1 & 2 bedroom apartment homes and surround yourself with comfort, and convenience. Entertain your family & friends at our refreshing pool & picnic area, or workout anytime in our 24-hour cardio fitness center.A community rich in diversity intimate enough to offer everyone an inviting community spirit and a welcome retreat at the end of each day. Come live at Cambridge Club, and enjoy the exciting blend of country and city living. We are Ann Arbor's West Side Secret!","Heating: Forced Air ,Property Type: Apartment ,Dishwasher ,Dryer ,Washer ,Balcony ,Assigned Parking Space ,Parking: Off Street ,Pool ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/mi/ann-arbor/cambridge-club-5501-cambridge-club-cir-ann-arbor-mi-48103--2050027670,2020-11-16
8,Cambridge Club Apartments,5501 Cambridge Club Cir,Unit 12-202,740 sqft,1bd,1ba,"Contact$1,239",Ann Arbor,MI,48103,"Cambridge Club, an award-winning property that is located in an extraordinary neighborhood. Our convenient Location is minutes to Ann Arbor, Dexter or any Washtenaw Area destination, including major employers, and shopping. Cambridge Club Apartments is also near an array of parks, recreation, entertainment & golf centers.Discover our 1 & 2 bedroom apartment homes and surround yourself with comfort, and convenience. Entertain your family & friends at our refreshing pool & picnic area, or workout anytime in our 24-hour cardio fitness center.A community rich in diversity intimate enough to offer everyone an inviting community spirit and a welcome retreat at the end of each day. Come live at Cambridge Club, and enjoy the exciting blend of country and city living. We are Ann Arbor's West Side Secret!","Heating: Forced Air ,Property Type: Apartment ,Dishwasher ,Dryer ,Washer ,Balcony ,Assigned Parking Space ,Parking: Off Street ,Pool ,Cats, dogs allowed ,Fitness Center",https://www.trulia.com/c/mi/ann-arbor/cambridge-club-5501-cambridge-club-cir-ann-arbor-mi-48103--2050027670,2020-11-16
9,Traver Ridge Apartments,2395 Leslie Cir,1 Bed 1.0 Bath,829 sqft,1bd,1ba,"$1,299",Ann Arbor,MI,48105,"A beautiful wooded setting and fountain pond views all await at Traver Ridge Apartments of Ann Arbor, MI. These spacious one, two and three bedrooms include open dining & living rooms and choice of patio or balcony. Select apartments feature split floorplans, in home laundry, master bedroom additional private balcony, walk-in closets, fireplace and private entry.Our pet friendly community features a sparkling pool, tennis court, 24-hour fitness center and play yard. We're just minutes from the University of Michigan and UM Medical Campus, Traverwood Library and the dining and shopping of downtown Ann Arbor.Traver Ridge apartments are in the Exceptional Ann Arbor Public School district, where students attend the following schools:* Logan Elementary School* Clague Middle School* Skyline High School","Property Type: Apartment ,Additional Storage ,Laundry Facilities ,Balcony ,Parking: None ,Pool ,Cats, dogs allowed ,Fitness Center ,Tennis Court",https://www.trulia.com/c/mi/ann-arbor/traver-ridge-2395-leslie-cir-ann-arbor-mi-48105--2050041353,2020-11-16
