,0
0,/c/tx/buda/tuscany-park-at-buda-5500-overpass-rd-buda-tx-78610--2071782029
1,/c/tx/round-rock/rock-springs-duplexes-1338-christopher-ave-round-rock-tx-78681--2072061473
2,/c/tx/buda/huntington-at-buda-1255-firecracker-dr-buda-tx-78610--2465128048
3,/c/tx/cedar-park/red-stone-ranch-1600-s-lakeline-blvd-cedar-park-tx-78613--2110296667
4,/c/tx/cedar-park/regal-parc-350-cypress-creek-rd-cedar-park-tx-78613--2071807498
5,/c/tx/buda/trails-at-buda-ranch-1250-robert-s-light-blvd-buda-tx-78610--2463361852
6,/c/tx/round-rock/city-north-at-sunrise-ranch-2800-sunrise-rd-round-rock-tx-78665--1150777473
7,/c/tx/round-rock/shadow-ridge-apartment-homes-2300-e-old-settlers-blvd-round-rock-tx-78664--2110324182
8,/c/tx/cedar-park/silverado-at-brushy-creek-11300-w-parmer-ln-cedar-park-tx-78613--1141968852
9,/c/tx/cedar-park/910-quest-pkwy-910-quest-pkwy-cedar-park-tx-78613--2361905468
10,/c/tx/dripping-springs/the-ridge-at-headwaters-1040-flathead-dr-dripping-springs-tx-78620--2392926433
11,/c/tx/round-rock/palm-valley-apartments-1301-n-a-w-grimes-blvd-round-rock-tx-78665--2184591183
12,/c/tx/pflugerville/the-sage-at-1825-15835-foothill-farms-loop-pflugerville-tx-78660--1011399099
13,/c/tx/pflugerville/broadstone-grand-avenue-1720-grand-avenue-pkwy-pflugerville-tx-78660--2071992398
14,/c/tx/cedar-park/whitestone-crossing-1201-w-whitestone-blvd-cedar-park-tx-78613--2447103172
15,/c/tx/leander/hills-of-leander-960-merrill-dr-leander-tx-78641--2416761261
16,/c/tx/leander/trailside-oaks-680-naumann-dr-leander-tx-78641--2409629214
17,/c/tx/kyle/the-strand-apartments-150-amberwood-s-kyle-tx-78640--2184641687
18,/c/tx/round-rock/las-brisas-luxury-apartment-homes-901-hidden-valley-dr-round-rock-tx-78665--2072029065
19,/c/tx/hutto/double-eagle-townhomes-405-winterfield-dr-hutto-tx-78634--1139217689
20,/c/tx/wimberley/woodcreek-apartment-homes-16515-ranch-road-12-wimberley-tx-78676--2072054377
21,/c/tx/kyle/the-settlement-210-amberwood-s-kyle-tx-78640--2288050290
