,price,Days on Market,Year Built,sqft,bed,bath,zipcode
1,1127,41.0,2009.0,753,1,1,89166
2,1124,41.0,2009.0,771,1,1,89166
3,1335,41.0,2009.0,849,1,1,89166
4,1347,41.0,2009.0,820,1,1,89166
5,1123,41.0,2009.0,801,1,1,89166
6,1168,41.0,2009.0,771,1,1,89166
7,1267,41.0,2009.0,820,1,1,89166
8,1205,41.0,2009.0,820,1,1,89166
9,1156,41.0,2009.0,801,1,1,89166
10,1196,41.0,2009.0,801,1,1,89166
11,1201,41.0,2009.0,871,1,1,89166
12,1143,41.0,2009.0,801,1,1,89166
13,1194,41.0,2009.0,753,1,1,89166
14,1137,41.0,2009.0,820,1,1,89166
15,1228,41.0,2009.0,871,1,1,89166
16,1207,41.0,2009.0,820,1,1,89166
17,1225,41.0,2009.0,849,1,1,89166
18,1335,41.0,2009.0,849,1,1,89166
19,1167,41.0,2009.0,753,1,1,89166
20,1348,41.0,2009.0,871,1,1,89166
21,1181,41.0,2009.0,801,1,1,89166
22,1181,41.0,2009.0,871,1,1,89166
24,1638,41.0,2009.0,956,2,1,89166
26,1638,41.0,2009.0,1166,2,2,89166
27,1656,41.0,2009.0,1161,2,2,89166
28,1573,41.0,2009.0,1166,2,2,89166
29,1639,41.0,2009.0,1039,2,2,89166
30,1789,41.0,2009.0,1110,2,2,89166
33,1217,5.0,1999.0,700,1,1,89183
34,1133,5.0,1999.0,700,1,1,89183
35,1220,5.0,1999.0,775,1,1,89183
36,1210,5.0,1999.0,775,1,1,89183
37,1177,5.0,1999.0,775,1,1,89183
38,1133,5.0,1999.0,700,1,1,89183
39,1177,5.0,1999.0,775,1,1,89183
40,1251,5.0,1999.0,775,1,1,89183
41,1220,5.0,1999.0,775,1,1,89183
42,985,5.0,1999.0,700,1,1,89183
44,1321,5.0,1999.0,938,2,2,89183
45,1280,5.0,1999.0,938,2,2,89183
46,1265,5.0,1999.0,938,2,2,89183
47,1235,5.0,1999.0,938,2,2,89183
48,1316,5.0,1999.0,1024,2,2,89183
49,1395,5.0,1999.0,1024,2,2,89183
50,1235,5.0,1999.0,938,2,2,89183
51,1406,5.0,1999.0,1024,2,2,89183
52,1316,5.0,1999.0,1024,2,2,89183
53,1235,5.0,1999.0,938,2,2,89183
54,1235,5.0,1999.0,938,2,2,89183
57,1338,16.0,2015.0,836,1,1,89113
58,1313,16.0,2015.0,836,1,1,89113
59,1378,16.0,2015.0,836,1,1,89113
60,1353,16.0,2015.0,898,1,1,89113
61,1338,16.0,2015.0,836,1,1,89113
62,1363,16.0,2015.0,898,1,1,89113
63,1328,16.0,2015.0,836,1,1,89113
64,1403,16.0,2015.0,836,1,1,89113
65,1353,16.0,2015.0,898,1,1,89113
67,1518,16.0,2015.0,1219,2,2,89113
68,1583,16.0,2015.0,1219,2,2,89113
69,1483,16.0,2015.0,1123,2,2,89113
70,1533,16.0,2015.0,1123,2,2,89113
71,1533,16.0,2015.0,1219,2,2,89113
72,1508,16.0,2015.0,1219,2,2,89113
73,1483,16.0,2015.0,1123,2,2,89113
74,1483,16.0,2015.0,1123,2,2,89113
75,1443,16.0,2015.0,1123,2,2,89113
76,1483,16.0,2015.0,1123,2,2,89113
77,1518,16.0,2015.0,1219,2,2,89113
78,1483,16.0,2015.0,1123,2,2,89113
79,1583,16.0,2015.0,1219,2,2,89113
80,1558,16.0,2015.0,1219,2,2,89113
81,1508,16.0,2015.0,1123,2,2,89113
82,1483,16.0,2015.0,1123,2,2,89113
85,1283,32.0,1998.0,814,1,1,89147
86,1253,32.0,1998.0,759,1,1,89147
87,1165,32.0,1998.0,759,1,1,89147
88,1242,32.0,1998.0,759,1,1,89147
89,1192,32.0,1998.0,759,1,1,89147
90,1227,32.0,1998.0,759,1,1,89147
92,1458,32.0,1998.0,1055,2,2,89147
93,1508,32.0,1998.0,1080,2,2,89147
94,1363,32.0,1998.0,1055,2,2,89147
97,1325,4.0,,749,1,1,89148
98,1317,4.0,,749,1,1,89148
100,1490,4.0,,1016,2,2,89148
101,1405,4.0,,1016,2,2,89148
102,1645,4.0,,1203,2,2,89148
103,1405,4.0,,1155,2,2,89148
104,1520,4.0,,1155,2,2,89148
107,1258,35.0,,776,1,1,89131
108,1258,35.0,,776,1,1,89131
109,1258,35.0,,776,1,1,89131
110,1238,35.0,,776,1,1,89131
112,1365,35.0,,1087,2,2,89131
113,1365,35.0,,1087,2,2,89131
114,1355,35.0,,1079,2,2,89131
115,1260,35.0,,1079,2,2,89131
116,1335,35.0,,1079,2,2,89131
117,1365,35.0,,1087,2,2,89131
118,1355,35.0,,1079,2,2,89131
119,1385,35.0,,1087,2,2,89131
121,1822,35.0,,1250,3,2,89131
123,1045,,,724,1,1,89103
124,1330,,,1040,2,2,89103
127,1362,49.0,2012.0,908,1,1,89183
128,1190,49.0,2012.0,842,1,1,89183
129,1340,49.0,2012.0,842,1,1,89183
130,1184,49.0,2012.0,908,1,1,89183
131,1203,49.0,2012.0,842,1,1,89183
132,1165,49.0,2012.0,842,1,1,89183
133,1390,49.0,2012.0,908,1,1,89183
134,1448,49.0,2012.0,908,1,1,89183
136,1505,49.0,2012.0,1084,2,2,89183
137,1628,49.0,2012.0,1197,2,2,89183
138,1628,49.0,2012.0,1084,2,2,89183
139,1628,49.0,2012.0,1197,2,2,89183
140,1536,49.0,2012.0,1084,2,2,89183
141,1690,49.0,2012.0,1197,2,2,89183
142,1628,49.0,2012.0,1197,2,2,89183
143,1505,49.0,2012.0,1084,2,2,89183
145,1650,49.0,2012.0,1395,3,2,89183
146,2359,49.0,2012.0,1395,3,2,89183
147,1675,49.0,2012.0,1395,3,2,89183
148,1675,49.0,2012.0,1395,3,2,89183
150,0,0.0,0.0,0,0,0,0
151,0,0.0,0.0,0,0,0,0
152,0,0.0,0.0,0,0,0,0
153,0,0.0,0.0,0,0,0,0
154,0,0.0,0.0,0,0,0,0
155,0,0.0,0.0,0,0,0,0
156,0,0.0,0.0,0,0,0,0
157,0,0.0,0.0,0,0,0,0
158,0,0.0,0.0,0,0,0,0
159,0,0.0,0.0,0,0,0,0
160,0,0.0,0.0,0,0,0,0
161,0,0.0,0.0,0,0,0,0
162,0,0.0,0.0,0,0,0,0
165,1019,48.0,1998.0,717,1,1,89103
166,1019,48.0,1998.0,717,1,1,89103
167,1149,48.0,1998.0,717,1,1,89103
169,1244,48.0,1998.0,947,2,2,89103
170,1244,48.0,1998.0,947,2,2,89103
171,1244,48.0,1998.0,947,2,2,89103
172,1399,48.0,1998.0,994,2,2,89103
173,1309,48.0,1998.0,994,2,2,89103
174,1339,48.0,1998.0,994,2,2,89103
176,1519,48.0,1998.0,1170,3,2,89103
177,1519,48.0,1998.0,1170,3,2,89103
178,1519,48.0,1998.0,1170,3,2,89103
181,1324,,,851,1,1,89148
182,1325,,,851,1,1,89148
183,1324,,,851,1,1,89148
184,1315,,,851,1,1,89148
185,1553,,,1026,1,1,89148
186,1358,,,851,1,1,89148
187,1318,,,851,1,1,89148
188,1310,,,854,1,1,89148
189,1393,,,854,1,1,89148
190,1319,,,854,1,1,89148
191,1400,,,854,1,1,89148
192,1323,,,854,1,1,89148
193,1553,,,1026,1,1,89148
194,1324,,,851,1,1,89148
195,1343,,,854,1,1,89148
196,1308,,,851,1,1,89148
197,1374,,,851,1,1,89148
198,1319,,,854,1,1,89148
199,1324,,,851,1,1,89148
201,1684,,,1208,2,2,89148
202,1599,,,1185,2,2,89148
203,1649,,,1185,2,2,89148
204,1719,,,1208,2,2,89148
205,1674,,,1189,2,2,89148
206,1724,,,1203,2,2,89148
207,1664,,,1203,2,2,89148
208,1664,,,1203,2,2,89148
209,1719,,,1208,2,2,89148
210,1674,,,1203,2,2,89148
211,1649,,,1185,2,2,89148
212,1724,,,1203,2,2,89148
213,1649,,,1185,2,2,89148
214,1684,,,1208,2,2,89148
215,1719,,,1208,2,2,89148
216,1664,,,1203,2,2,89148
217,1674,,,1203,2,2,89148
220,1140,19.0,,797,1,1,89119
221,1185,19.0,,797,1,1,89119
222,1190,19.0,,797,1,1,89119
224,1420,19.0,,1066,2,2,89119
225,1390,19.0,,1066,2,2,89119
226,1300,19.0,,1066,2,2,89119
227,1390,19.0,,1066,2,2,89119
228,1390,19.0,,1066,2,2,89119
229,1275,19.0,,1046,2,2,89119
230,1390,19.0,,1046,2,2,89119
231,1390,19.0,,1046,2,2,89119
232,1270,19.0,,1046,2,2,89119
233,1390,19.0,,1066,2,2,89119
234,1390,19.0,,1066,2,2,89119
235,1390,19.0,,1066,2,2,89119
236,1270,19.0,,1046,2,2,89119
239,1280,20.0,1994.0,1157,2,2,89108
240,1280,20.0,1994.0,1202,2,2,89108
241,1280,20.0,1994.0,1202,2,2,89108
242,1280,20.0,1994.0,1202,2,2,89108
243,1285,20.0,1994.0,1125,2,2,89108
244,1285,20.0,1994.0,1125,2,2,89108
245,1280,20.0,1994.0,1202,2,2,89108
246,1280,20.0,1994.0,1202,2,2,89108
247,1285,20.0,1994.0,1125,2,2,89108
248,1280,20.0,1994.0,1202,2,2,89108
249,1280,20.0,1994.0,1202,2,2,89108
250,1285,20.0,1994.0,1125,2,2,89108
251,1280,20.0,1994.0,1157,2,2,89108
254,1190,48.0,2013.0,712,1,1,89139
255,1224,48.0,2013.0,712,1,1,89139
256,1224,48.0,2013.0,712,1,1,89139
257,1246,48.0,2013.0,790,1,1,89139
258,1224,48.0,2013.0,712,1,1,89139
259,1300,48.0,2013.0,794,1,1,89139
